Location,Location_Type,Year,Month,Price_Studio,Price_1br,Price_2br,Price_3br,Price_4br,Price_Change_MoM,Price_Change_YoY
"Newark, OH","City",2019,10,521,615,793,1020,1188,.8,1
"Newington, CT","City",2019,10,853,1056,1322,1667,1868,-.4,1.2
"Newport News, VA","City",2019,10,845,850,1023,1427,1781,-.1,.9
"Noblesville, IN","City",2019,10,741,861,1065,1428,1628,1.4,4.4
"Norcross, GA","City",2019,10,1160,1217,1405,1845,2267,-1,5.8
"Norfolk, VA","City",2019,10,791,795,957,1336,1666,0,.8
"Normal, IL","City",2019,10,576,633,835,1131,1433,-.1,-1.1
"Norman, OK","City",2019,10,573,634,812,1111,1357,0,.6
"Norristown, PA","City",2019,10,1006,1194,1441,1803,2006,.5,2.4
"North Charleston, SC","City",2019,10,808,927,1103,1462,1888,.8,2.6
"North Chicago, IL","City",2019,10,717,832,978,1251,1489,.3,.2
"North Las Vegas, NV","City",2019,10,782,957,1186,1726,2079,0,3.1
"North Little Rock, AR","City",2019,10,572,663,802,1082,1287,-.1,.4
"North Port, FL","City",2019,10,837,900,1157,1587,1929,1,.7
"North Richland Hills, TX","City",2019,10,916,1092,1357,1840,2343,-.2,2.7
"Norwalk, CA","City",2019,10,1345,1601,2058,2797,3084,-.6,1.1
"Novato, CA","City",2019,10,2196,2698,3390,4561,5423,-.9,4.8
"Oak Park, MI","City",2019,10,813,983,1279,1698,1842,-.2,.3
"Ocala, FL","City",2019,10,774,826,1003,1350,1455,-.6,2.9
"Oceanside, CA","City",2019,10,1621,1794,2328,3352,4102,1.3,1.7
"Oconomowoc, WI","City",2019,10,703,855,1059,1335,1498,.1,1.8
"Ogden, UT","City",2019,10,580,697,894,1275,1496,-.2,1.1
"Oklahoma City, OK","City",2019,10,571,632,809,1108,1352,.1,.7
"Olathe, KS","City",2019,10,744,941,1154,1578,1785,-.3,1.3
"Omaha, NE","City",2019,10,606,763,954,1284,1407,-.2,1.1
"Ontario, CA","City",2019,10,1022,1223,1529,2149,2647,.1,2.6
"Orange, CA","City",2019,10,1498,1782,2290,3113,3432,-.7,.6
"Orlando, FL","City",2019,10,993,1085,1299,1729,2080,-.2,2
"Ormond Beach, FL","City",2019,10,788,949,1184,1595,1790,.9,2.7
"Ortonville, MI","City",2019,10,568,680,893,1183,1282,-.4,-1.1
"Overland Park, KS","City",2019,10,774,980,1202,1643,1859,-.7,1.4
"Owings Mills, MD","City",2019,10,1038,1261,1582,2034,2382,-.7,3.4
"Oxnard, CA","City",2019,10,1052,1248,1658,2362,2822,0,.7
"Pacifica, CA","City",2019,10,2482,3051,3833,5157,6132,1.6,2
"Palm Bay, FL","City",2019,10,667,829,1051,1453,1789,1.3,1.3
"Palm Beach Gardens, FL","City",2019,10,1121,1387,1758,2421,2915,1.8,1.1
"Palm Desert, CA","City",2019,10,797,953,1192,1676,2064,-1.6,-.7
"Palm Harbor, FL","City",2019,10,953,1088,1355,1791,2149,-.5,1
"Palm Springs, CA","City",2019,10,783,936,1171,1646,2027,.3,1.5
"Palmdale, CA","City",2019,10,1230,1464,1882,2557,2820,.5,2.2
"Palo Alto, CA","City",2019,10,2156,2555,3204,4422,5127,.9,3.3
"Paramount, CA","City",2019,10,1233,1468,1886,2564,2827,-.3,.2
"Park Forest, IL","City",2019,10,854,991,1166,1491,1774,.3,1
"Parker, CO","City",2019,10,1168,1427,1806,2624,3039,.3,2.1
"Parkville, MD","City",2019,10,909,1104,1385,1780,2085,-.8,-.3
"Pasadena, CA","City",2019,10,1368,1628,2091,2842,3134,-.2,.2
"Pasadena, MD","City",2019,10,1343,1632,2047,2632,3083,-1.4,.2
"Pasadena, TX","City",2019,10,730,828,1013,1381,1755,.1,1.4
"Pascagoula, MS","City",2019,10,569,596,689,967,1155,-1.3,-2.7
"Pearland, TX","City",2019,10,981,1112,1361,1855,2358,.2,1.6
"Pembroke Pines, FL","City",2019,10,1535,1899,2408,3315,3992,-.7,0
"Peoria, AZ","City",2019,10,970,1178,1468,2136,2478,.6,4.3
"Peoria, IL","City",2019,10,560,644,826,1047,1200,-.2,2.8
"Perris, CA","City",2019,10,740,885,1107,1555,1916,-.1,-.1
"Perry Hall, MD","City",2019,10,1078,1309,1642,2111,2473,.5,.7
"Petersburg, VA","City",2019,10,749,785,906,1201,1463,-.6,1.2
"Pflugerville, TX","City",2019,10,1062,1287,1589,2153,2590,.5,2.7
"Phenix City, AL","City",2019,10,566,613,762,1048,1306,-.7,4.2
"Philadelphia, PA","City",2019,10,820,973,1175,1470,1636,-.1,.3
"Phoenix, AZ","City",2019,10,725,881,1097,1597,1853,.5,4
"Pineville, NC","City",2019,10,938,1038,1211,1632,2050,.5,5
"Pittsburg, CA","City",2019,10,2085,2563,3220,4332,5151,-1.3,1
"Pittsburgh, PA","City",2019,10,634,735,919,1151,1267,-.2,.3
"Plainfield, IN","City",2019,10,698,811,1004,1345,1534,-.4,4.2
"Plano, TX","City",2019,10,989,1179,1464,1985,2529,0,2.2
"Pleasanton, CA","City",2019,10,2376,2920,3669,4936,5869,-1.5,-.2
"Pompano Beach, FL","City",2019,10,937,1159,1470,2023,2436,.3,.4
"Pontiac, MI","City",2019,10,605,731,952,1264,1371,0,.7
"Port Huron, MI","City",2019,10,532,642,836,1110,1204,.4,.2
"Port Orange, FL","City",2019,10,818,986,1230,1657,1859,-.8,1
"Port Washington, WI","City",2019,10,585,711,881,1111,1247,-.1,.5
"Portland, OR","City",2019,10,1018,1133,1337,1945,2355,-.8,.4
"Portsmouth, VA","City",2019,10,772,776,934,1303,1626,.7,1.6
"Post Falls, ID","City",2019,10,593,646,858,1215,1512,-.2,.8
"Puyallup, WA","City",2019,10,1387,1588,1977,2870,3413,.1,2.4
"Quincy, MA","City",2019,10,1358,1549,1920,2413,2660,-.9,3
"Radcliff, KY","City",2019,10,488,525,698,1016,1230,0,1.1
"Rahway, NJ","City",2019,10,1183,1313,1564,2017,2247,-.4,.7
"Raleigh, NC","City",2019,10,819,1010,1168,1526,1865,-.7,2.6
"Rancho Cucamonga, CA","City",2019,10,1194,1429,1787,2511,3093,.3,1.7
"Rapid City, SD","City",2019,10,583,647,846,1191,1386,.2,1
"Redlands, CA","City",2019,10,775,927,1159,1629,2007,1.1,2.6
"Redwood City, CA","City",2019,10,2285,2808,3528,4747,5645,-.5,1.6
"Reisterstown, MD","City",2019,10,951,1156,1449,1863,2183,1.2,2.8
"Reno, NV","City",2019,10,747,904,1177,1713,2075,.2,1.2
"Renton, WA","City",2019,10,1489,1705,2123,3081,3665,.3,3.7
"Richardson, TX","City",2019,10,911,1086,1350,1830,2331,-.1,3
"Richland, WA","City",2019,10,691,841,1041,1421,1834,-.2,4
"Richmond, TX","City",2019,10,885,1003,1228,1674,2127,-.3,.3
"Richmond, VA","City",2019,10,856,898,1036,1373,1672,-.1,.8
"Rio Rancho, NM","City",2019,10,668,859,1053,1533,1856,-.1,2
"Riverdale, GA","City",2019,10,985,1033,1193,1567,1926,.5,2.1
"Riverside, CA","City",2019,10,909,1087,1359,1910,2353,.5,2.2
"Riverview, FL","City",2019,10,926,1057,1316,1740,2087,.8,.8
"Roanoke, VA","City",2019,10,565,678,864,1182,1339,1,1.5
"Rochester, NY","City",2019,10,658,778,964,1207,1329,.2,1
"Rock Hill, SC","City",2019,10,779,863,1006,1356,1703,1.1,3
"Rockford, IL","City",2019,10,547,614,817,1083,1210,.5,.4
"Rockwood, MI","City",2019,10,565,682,888,1180,1280,,.5
"Rocky Mount, NC","City",2019,10,661,665,840,1151,1287,-.1,1
"Rogers, AR","City",2019,10,637,676,873,1253,1525,1.4,4.8
"Rohnert Park, CA","City",2019,10,1324,1534,1988,2894,3503,-1,-1.6
"Romeoville, IL","City",2019,10,1379,1600,1883,2408,2865,-.4,.2
"Romulus, MI","City",2019,10,551,666,866,1150,1248,.5,.4
"Roseville, MI","City",2019,10,622,751,978,1299,1409,.3,1
"Roswell, GA","City",2019,10,1208,1267,1464,1922,2362,-1,2.4
"Round Rock, TX","City",2019,10,1057,1281,1581,2142,2577,.8,3.4
"Rowland Heights, CA","City",2019,10,1292,1538,1976,2686,2961,-.2,2.1
"Royal Oak, MI","City",2019,10,690,834,1086,1442,1564,-.2,.7
"Sacramento, CA","City",2019,10,864,973,1235,1793,2175,.6,2
"Saginaw, MI","City",2019,10,503,623,792,1045,1092,0,1.3
"Salem, MA","City",2019,10,1266,1444,1791,2250,2480,1,4.7
"Salinas, CA","City",2019,10,1441,1717,2148,3126,3344,.6,2.3
"Salisbury, MD","City",2019,10,726,812,1070,1461,1761,-.7,3.7
"Salt Lake City, UT","City",2019,10,707,876,1086,1564,1797,.6,1.8
"San Antonio, TX","City",2019,10,700,862,1084,1434,1721,.1,2.1
"San Bernardino, CA","City",2019,10,707,846,1058,1487,1832,.6,.5
"San Diego, CA","City",2019,10,1426,1579,2048,2949,3609,.2,.8
"San Dimas, CA","City",2019,10,1568,1867,2399,3260,3595,.3,1.4
"San Francisco, CA","City",2019,10,2023,2486,3123,4202,4996,-.3,.6
"San Jose, CA","City",2019,10,1802,2119,2655,3686,4249,-.3,.8
"San Marcos, CA","City",2019,10,1413,1564,2029,2922,3576,1.3,1.6
"San Marcos, TX","City",2019,10,789,963,1198,1606,1930,0,.7
"San Mateo, CA","City",2019,10,2875,3534,4439,5973,7103,-.1,1.4
"San Ramon, CA","City",2019,10,2469,3034,3812,5129,6098,.2,2.3
"Santa Ana, CA","City",2019,10,1210,1440,1851,2515,2773,-1.8,-.7
"Santa Clara, CA","City",2019,10,1906,2240,2808,3898,4493,-.9,.8
"Santa Clarita, CA","City",2019,10,1756,2090,2686,3650,4025,.5,2.9
"Santa Cruz, CA","City",2019,10,1564,1854,2465,3270,3672,-.2,1.3
"Sarasota, FL","City",2019,10,1010,1086,1395,1914,2326,0,.6
"Savannah, GA","City",2019,10,806,915,1056,1440,1683,.3,1.1
"Schaumburg, IL","City",2019,10,1227,1424,1676,2143,2550,.7,1.5
"Scottsdale, AZ","City",2019,10,895,1088,1355,1972,2288,.4,3.7
"Seattle, WA","City",2019,10,1183,1355,1687,2449,2912,-.7,1.4
"Severn, MD","City",2019,10,1102,1339,1679,2159,2529,-1.1,3.3
"Shawnee, KS","City",2019,10,680,860,1055,1442,1631,.2,2.8
"Sherman, TX","City",2019,10,610,750,954,1302,1460,-.5,1.7
"Sierra Vista, AZ","City",2019,10,698,703,878,1246,1546,-1,3.7
"Silver Spring, MD","City",2019,10,1495,1570,1813,2392,2966,-.3,3.4
"Sioux Falls, SD","City",2019,10,511,615,762,1032,1218,-1.6,-1.1
"Slidell, LA","City",2019,10,800,934,1131,1450,1702,-.1,1.2
"Smyrna, GA","City",2019,10,1115,1169,1351,1773,2179,-.4,3.2
"Snellville, GA","City",2019,10,1240,1301,1503,1973,2425,-.8,1.4
"South Gate, CA","City",2019,10,828,986,1266,1721,1898,.3,2.7
"Southfield, MI","City",2019,10,760,919,1195,1588,1722,.5,1.9
"Spanaway, WA","City",2019,10,1157,1325,1650,2395,2848,.1,1.2
"Spring, TX","City",2019,10,1000,1134,1387,1892,2404,1,1.5
"Springfield, IL","City",2019,10,484,553,717,937,989,1.2,-.9
"Springfield, MO","City",2019,10,490,530,690,1000,1087,2,1.6
"Springfield, OH","City",2019,10,500,549,711,916,1023,.8,1.3
"Springfield, OR","City",2019,10,633,750,998,1447,1743,-.3,1.6
"St. Ann, MO","City",2019,10,544,617,801,1061,1238,.4,5.3
"St. Clair Shores, MI","City",2019,10,622,752,979,1300,1410,.1,.5
"St. Joseph, MO","City",2019,10,575,631,822,1041,1286,0,1.7
"St. Louis, MO","City",2019,10,638,723,939,1244,1451,.2,.9
"St. Paul, MN","City",2019,10,797,983,1240,1756,2053,.1,1.4
"St. Petersburg, FL","City",2019,10,843,962,1198,1584,1901,-.2,1.5
"Stamford, CT","City",2019,10,1272,1555,1964,2483,2975,1.2,3.2
"Sterling Heights, MI","City",2019,10,684,827,1076,1429,1550,.6,.2
"Stockton, CA","City",2019,10,823,982,1288,1859,2245,0,2
"Sugar Land, TX","City",2019,10,1146,1299,1589,2167,2753,.7,.7
"Suisun City, CA","City",2019,10,1244,1551,1940,2823,3418,.3,.6
"Sumter, SC","City",2019,10,607,611,754,992,1114,-.7,1.3
"Suwanee, GA","City",2019,10,1581,1658,1915,2514,3090,-.2,2.9
"Syracuse, NY","City",2019,10,587,656,829,1086,1186,.2,-.8
"Tacoma, WA","City",2019,10,1096,1254,1562,2268,2697,-1.1,.5
"Tallahassee, FL","City",2019,10,774,816,1010,1339,1534,.7,1.6
"Tampa, FL","City",2019,10,906,1035,1288,1703,2043,.4,2.4
"Tarpon Springs, FL","City",2019,10,786,897,1117,1477,1772,.2,-.3
"Taylor, MI","City",2019,10,564,681,887,1178,1277,.9,.6
"Tempe, AZ","City",2019,10,811,985,1227,1786,2072,-.7,5.6
"Temple, TX","City",2019,10,594,607,803,1134,1407,-.1,2.1
"Texarkana, AR","City",2019,10,507,576,727,927,1021,1.1,1.9
"Texarkana, TX","City",2019,10,544,618,779,993,1095,1,.8
"Texas City, TX","City",2019,10,805,912,1116,1522,1934,-.7,4
"The Colony, TX","City",2019,10,1020,1215,1510,2047,2608,1.2,4.4
"Thornton, CO","City",2019,10,1256,1534,1941,2821,3267,.5,3.6
"Thousand Oaks, CA","City",2019,10,1732,2055,2712,3827,4504,-.5,.9
"Toledo, OH","City",2019,10,492,591,773,1059,1158,.4,.4
"Tolleson, AZ","City",2019,10,797,968,1206,1755,2036,.6,.6
"Topeka, KS","City",2019,10,502,600,792,1071,1296,.2,2.6
"Torrance, CA","City",2019,10,1363,1622,2084,2832,3123,-.1,.6
"Towson, MD","City",2019,10,980,1191,1494,1921,2250,-.3,1.8
"Trenton, MI","City",2019,10,559,675,879,1167,1266,.2,.1
"Troy, MI","City",2019,10,847,1023,1332,1769,1919,-.7,2.4
"Troy, NY","City",2019,10,678,803,989,1237,1363,.8,.5
"Troy, OH","City",2019,10,515,574,749,1007,1188,.2,1.5
"Tucson, AZ","City",2019,10,599,711,944,1374,1626,-.2,1.4
"Tulsa, OK","City",2019,10,541,640,827,1115,1226,.3,.5
"Turtle Creek, PA","City",2019,10,432,500,626,783,862,-.2,.2
"Tuscaloosa, AL","City",2019,10,663,749,915,1180,1261,-.3,1.9
"Tustin, CA","City",2019,10,1625,1934,2485,3378,3724,.3,1.1
"Twentynine Palms, CA","City",2019,10,561,671,839,1179,1452,-.1,1.2
"Universal City, TX","City",2019,10,800,986,1239,1639,1968,.3,1.7
"Urbana, IL","City",2019,10,581,713,885,1112,1481,-.1,-.6
"Utica, MI","City",2019,10,653,789,1026,1363,1479,-.2,.1
"Valdosta, GA","City",2019,10,547,550,704,963,1240,-1.5,-1
"Vancouver, WA","City",2019,10,1283,1427,1684,2451,2967,.3,2.1
"Vandalia, OH","City",2019,10,442,493,643,865,1020,0,.9
"Victoria, TX","City",2019,10,755,763,944,1280,1347,.8,2.4
"Victorville, CA","City",2019,10,927,1109,1387,1949,2401,1.5,2.1
"Virginia Beach, VA","City",2019,10,1083,1088,1310,1828,2281,.1,1.9
"Visalia, CA","City",2019,10,788,793,1037,1502,1724,.5,1.7
"Vista, CA","City",2019,10,1300,1440,1868,2690,3292,0,.9
"Waco, TX","City",2019,10,535,631,830,1128,1376,1,1.8
"Walnut Creek, CA","City",2019,10,2027,2491,3129,4210,5006,-.2,1.9
"Warner Robins, GA","City",2019,10,707,760,912,1180,1401,.3,1.6
"Washington, DC","City",2019,10,1295,1360,1571,2072,2570,-.3,1.3
"Waterbury, CT","City",2019,10,810,924,1128,1440,1681,.3,.8
"Waukegan, IL","City",2019,10,749,869,1022,1307,1555,.8,2.4
"Wausau, WI","City",2019,10,465,571,733,918,1089,.4,.3
"Wayne, MI","City",2019,10,507,612,797,1058,1148,1.6,1.9
"Weatherford, TX","City",2019,10,760,905,1125,1525,1942,.1,2.3
"Webster, TX","City",2019,10,880,998,1221,1665,2116,.5,.5
"Wellington, FL","City",2019,10,1219,1507,1911,2631,3168,-1,.4
"Weslaco, TX","City",2019,10,559,563,731,915,1088,-.2,.3
"West Chester, PA","City",2019,10,1110,1318,1591,1991,2216,-.7,-.1
"West Covina, CA","City",2019,10,1512,1800,2313,3144,3466,-.2,1.5
"West Lafayette, IN","City",2019,10,684,755,920,1261,1568,-.7,.7
"West Palm Beach, FL","City",2019,10,881,1089,1381,1901,2289,.6,1
"West Sacramento, CA","City",2019,10,672,757,960,1395,1692,-.6,1.5
"Westland, MI","City",2019,10,614,742,965,1282,1390,.3,0
"Westminster, CO","City",2019,10,1064,1299,1645,2389,2767,1,1.9
"Wheat Ridge, CO","City",2019,10,822,1004,1271,1847,2139,.7,1.8
"Wheeling, IL","City",2019,10,984,1142,1344,1719,2045,.7,.4
"Wichita, KS","City",2019,10,474,563,748,1016,1180,.5,.4
"Wildomar, CA","City",2019,10,1195,1430,1788,2513,3095,1.1,1.1
"Williamsport, PA","City",2019,10,590,594,726,977,1001,1.7,1.5
"Willoughby, OH","City",2019,10,615,736,916,1205,1276,.1,.1
"Winston-Salem, NC","City",2019,10,652,671,819,1138,1303,.5,2
"Winter Haven, FL","City",2019,10,677,682,892,1183,1498,.6,2.3
"Winter Park, FL","City",2019,10,973,1063,1274,1694,2038,-.1,.6
"Winter Springs, FL","City",2019,10,1038,1134,1359,1808,2175,1.5,6
"Woodstock, IL","City",2019,10,840,975,1147,1468,1746,1,.7
"Worcester, MA","City",2019,10,872,986,1256,1589,1786,.4,.8
"Wyandotte, MI","City",2019,10,511,618,804,1068,1159,.8,-1.8
"Yakima, WA","City",2019,10,606,707,916,1264,1451,-.3,.7
"Youngstown, OH","City",2019,10,516,578,728,947,1053,-.1,-.8
"Ypsilanti, MI","City",2019,10,815,868,1047,1437,1803,.5,2.7
"Yucca Valley, CA","City",2019,10,577,690,863,1213,1494,.6,3.2
"Zion, IL","City",2019,10,778,903,1063,1359,1617,.9,1.4
